level_0,index,pclass,sex,age,sibsp,parch,fare,embarked,survived,family_size,zhenhuaqian
242,242,1,0,33.0,0,0,27.7208,C,1,0,0.0
244,244,1,1,36.0,0,0,40.125,C,0,0,40.125
245,245,1,0,33.0,0,0,86.5,S,1,0,0.0
249,249,1,1,13.0,2,2,262.375,C,1,4,262.375
250,250,1,0,18.0,2,2,262.375,C,1,4,0.0
251,251,1,0,21.0,2,2,262.375,C,1,4,0.0
252,252,1,1,61.0,1,3,262.375,C,0,4,262.375
253,253,1,0,48.0,1,3,262.375,C,1,4,0.0
255,255,1,0,24.0,0,0,69.3,C,1,0,0.0
257,257,1,0,35.0,1,0,57.75,C,1,1,0.0
260,260,1,0,40.0,0,0,153.4625,S,1,0,0.0
261,261,1,1,35.0,0,0,26.2875,S,1,0,26.2875
262,262,1,1,50.0,1,0,55.9,S,0,1,55.9
263,263,1,0,39.0,1,0,55.9,S,1,1,0.0
264,264,1,1,56.0,0,0,35.5,C,1,0,35.5
265,265,1,1,28.0,0,0,35.5,S,1,0,35.5
267,267,1,1,56.0,0,0,30.6958,C,0,0,30.6958
268,268,1,1,24.0,1,0,60.0,S,0,1,60.0
270,270,1,0,18.0,1,0,60.0,S,1,1,0.0
271,271,1,1,24.0,1,0,82.2667,S,1,1,82.2667
272,272,1,0,23.0,1,0,82.2667,S,1,1,0.0
273,273,1,1,6.0,0,2,134.5,C,1,2,134.5
274,274,1,1,45.0,1,1,134.5,C,1,2,134.5
275,275,1,0,40.0,1,1,134.5,C,1,2,0.0
276,276,1,1,57.0,1,0,146.5208,C,0,1,146.5208
278,278,1,1,32.0,0,0,30.5,C,1,0,30.5
279,279,1,1,62.0,0,0,26.55,S,0,0,26.55
280,280,1,1,54.0,1,0,55.4417,C,1,1,55.4417
281,281,1,0,43.0,1,0,55.4417,C,1,1,0.0
282,282,1,0,52.0,1,0,78.2667,C,1,1,0.0
285,285,1,1,67.0,1,0,221.7792,S,0,1,221.7792
286,286,1,0,63.0,1,0,221.7792,S,0,1,0.0
287,287,1,1,61.0,0,0,32.3208,S,0,0,32.3208
288,288,1,0,48.0,0,0,25.9292,S,1,0,0.0
289,289,1,0,18.0,0,2,79.65,S,1,2,0.0
290,290,1,1,52.0,1,1,79.65,S,0,2,79.65
291,291,1,0,39.0,1,1,79.65,S,1,2,0.0
292,292,1,1,48.0,1,0,52.0,S,1,1,52.0
294,294,1,1,49.0,1,1,110.8833,C,0,2,110.8833
295,295,1,1,17.0,0,2,110.8833,C,1,2,110.8833
296,296,1,0,39.0,1,1,110.8833,C,1,2,0.0
298,298,1,1,31.0,0,0,28.5375,C,1,0,28.5375
300,300,1,1,61.0,0,0,33.5,S,0,0,33.5
301,301,1,1,47.0,0,0,34.0208,S,0,0,34.0208
303,303,1,1,64.0,1,0,75.25,C,0,1,75.25
304,304,1,0,60.0,1,0,75.25,C,1,1,0.0
306,306,1,1,54.0,0,1,77.2875,S,0,1,77.2875
307,307,1,1,21.0,0,1,77.2875,S,0,1,77.2875
308,308,1,0,55.0,0,0,135.6333,C,1,0,0.0
309,309,1,0,31.0,0,2,164.8667,S,1,2,0.0
312,312,1,1,50.0,1,1,211.5,C,0,2,211.5
313,313,1,1,27.0,0,2,211.5,C,0,2,211.5
314,314,1,0,50.0,1,1,211.5,C,1,2,0.0
319,319,1,0,31.0,0,0,134.5,C,1,0,0.0
322,322,1,0,36.0,0,0,135.6333,C,1,0,0.0
333,333,2,0,36.0,0,0,13.0,S,1,0,0.0
339,339,2,1,1.0,2,1,39.0,S,1,3,39.0
340,340,2,0,4.0,2,1,39.0,S,1,3,0.0
341,341,2,0,12.0,2,1,39.0,S,1,3,0.0
342,342,2,0,36.0,0,3,39.0,S,1,3,0.0
343,343,2,1,34.0,0,0,13.0,S,1,0,13.0
349,349,2,0,24.0,0,0,13.0,S,1,0,0.0
380,380,2,0,22.0,0,0,10.5,S,1,0,0.0
465,465,2,0,23.0,0,0,13.7917,C,1,0,0.0
484,484,2,0,34.0,0,0,10.5,S,1,0,0.0
485,485,2,1,36.0,0,0,12.875,C,0,0,12.875
490,490,2,0,57.0,0,0,10.5,S,0,0,0.0
514,514,2,1,2.0,1,1,26.0,S,1,2,26.0
515,515,2,1,3.0,1,1,26.0,S,1,2,26.0
516,516,2,1,36.5,0,2,26.0,S,0,2,26.0
517,517,2,1,26.0,0,0,13.0,S,0,0,13.0
520,520,2,1,20.0,0,0,13.8625,C,1,0,13.8625
521,521,2,0,29.0,0,0,10.5,S,1,0,0.0
568,568,2,1,18.5,0,0,13.0,S,0,0,13.0
573,573,2,0,27.0,0,0,10.5,S,1,0,0.0
584,584,2,0,32.5,0,0,13.0,S,1,0,0.0
605,605,3,1,25.0,0,0,7.65,S,1,0,7.65
873,873,3,1,42.0,0,0,7.65,S,0,0,7.65
941,941,3,1,25.0,0,0,7.2292,C,1,0,7.2292
1024,1024,3,1,25.0,0,0,7.65,S,0,0,7.65
1025,1025,3,1,6.0,0,1,12.475,S,1,1,12.475
1026,1026,3,0,27.0,0,1,12.475,S,1,1,0.0
1131,1131,3,1,32.0,0,0,8.05,S,1,0,8.05
1187,1187,3,0,1.0,1,1,16.7,S,1,2,0.0
1188,1188,3,0,24.0,0,2,16.7,S,1,2,0.0
1189,1189,3,0,4.0,1,1,16.7,S,1,2,0.0
1217,1217,3,1,19.0,0,0,7.65,S,0,0,7.65
1230,1230,3,0,2.0,0,1,10.4625,S,0,1,0.0
1231,1231,3,0,29.0,1,1,10.4625,S,0,2,0.0
